先方側メーカーCD,先方側メーカー名,先方側車種CD,先方側車種名,先方側グレード名,先方側型式,先方側排気量,ルール,PROTO車種CD,PROTO車種名,PROTOグレードCD,PROTOグレード名,PROTO型式
,マツダ,S015,プレマシー,２．０ ２０Ｓ スカイアクティブ Ｌパッケージ,DBA-CWFFW,2000,35,10252014,プレマシー,135,２０Ｓ－スカイアクティブ Ｌパッケージ,CWFFW
,メルセデス・ベンツ,S002,Ｂクラス,Ｂ２５０ ４マティック スポーツ ４ＷＤ クルーズコントロール＆バックモニター,DBA-246246,2000,35,20251518,Ｂクラス,59,Ｂ２５０ ４マチック スポーツ,246246
,メルセデス・ベンツ,S005,Ｃクラスワゴン,Ｃ２００ ブルーエフィシェンシー ライト 保証無し,DBA-204248,1800,35,20252501,Ｃクラスステーションワゴン,91,Ｃ２００ブルーエフィシェンシーワゴンライト,204248
,日産,S001,モコ,６６０ Ｅ インテリキー 純正ナビ オートエアコン,DBA-MG22S,660,25,10151037,モコ,46,Ｅ,MG22S
,日産,S001,モコ,６６０ Ｅ ショコラティエ ＣＤ,DBA-MG22S,660,25,10151037,モコ,47,Ｅ ショコラティエ,MG22S
,日産,S177,シルフィ,１．８ Ｓ ワンオーナー,DBA-TB17,1800,35,10151050,シルフィ,10,Ｓ,TB17
,日産,S177,シルフィ,１．８ Ｓ ツーリング キセノンヘッドランプ 専用エアロ,DBA-TB17,1800,35,10151050,シルフィ,11,Ｓ ツーリング,TB17
,日産,S008,ノート,１．２ Ｘ ＤＩＧ－Ｓ 純正ナビゲーション＆全周囲モニター,DBA-E12,1200,25,10151042,ノート,230,Ｘ ＤＩＧ－Ｓ,E12
,日産,S179,デイズ,６６０ ハイウェイスターＸ ３．９パーセント残価設定型クレジット対象車,5AA-B44W,660,35,10152048,デイズ,115,ハイウェイスター Ｘ,B44W
,日産,S179,デイズ,６６０ ハイウェイスターＧターボ ナビ アラウンドビュー ＨＩＤ Ａ／Ｗ １オーナー,DBA-B21W,660,35,10152048,デイズ,125,ハイウェイスター Ｇターボ,B21W
,日産,S008,ノート,１．５ １５Ｘ ＥＴＣ・社外アルミホイール,DBA-E11,1500,35,10151042,ノート,99,１５Ｘ,E11
,日産,S101,１８０ＳＸ,２．０ タイプＸ ＨＫＳチタンリ－ガルマフラ－ ５速ＭＴ,E-RPS13,2000,25,10151015,１８０ＳＸ,49,タイプＸ,RPS13
